"key","message","comment","context"
"Enable per project task sequence",,,
"Enable task signature",,,
"Estimated time",,,
"Estimated time (in hours)",,,
"Expense lines","Статьи расходов",,
"Expenses","Расходы",,
"Extends members from parent","Расширяет членство от родителей",,
"Fields to display",,,
"Financial Data","Финансовые данные",,
"Financial Report","Финансовый отчет",,
"Find a task",,,
"Finish","Готово",,
"Finish tasks to finish","Закончить задания, чтобы закончить",,
"Finish tasks to start","Завершение заданий для начала работы",,
"First",,,
"Folder",,,
"Follow-up","Последующая деятельность",,
"Followers","Подписчики",,
"Frequency",,,
"Frequency end date cannot be before task date.",,,
"From",,,
"From Date","С даты",,
"From date","С даты",,
"Full screen",,,
"Gantt","Гант",,
"Gantt with project","Гантт с проектом",,
"Gantt with user","Гантт с пользователем",,
"Gen proj type per order line","Gen тип проекта в каждой строке заказа",,
"Generate quotation","Сгенерировать котировку",,
"Generated project","Генерируемый проект",,
"High","Высоко",,
"Historical","Исторический",,
"IS Active",,,
"Image","Изображение",,
"Import all members","Импортировать всех участников",,
"Imputable","Импортируемый",,
"Imputable to HR timesheets",,,
"Include",,,
"Include sub context projects",,,
"Incomplete tasks",,,
"Integer",,,
"Internal Description",,,
"Invalid model name",,,
"Invalid selection name",,,
"Invoiced","Счета",,
"Invoices",,,
"Invoicing","выставление счетов",,
"Is unique task for multiple quantity","Уникальная задача для многократного количества",,
"IsActive",,,
"Issue tracking",,,
"Just my tasks",,,
"Last status",,,
"Last updated on",,,
"Latest News",,,
"Load more",,,
"Location",,,
"Log Times","Время регистрации",,
"Log time",,,
"Low","Низкий",,
"Main/Invoicing address",,,
"Make a subtask of",,,
"Make this task a subtask of another project task",,,
"Manage lines","Управление линиями",,
"Mark Complete",,,
"Mark Incomplete",,,
"Members","Члены",,
"Membres","Мембры",,
"Message",,,
"MultiSelect",,,
"My open tasks",,,
"My projects","Мои проекты",,
"My tasks due","Мои задачи",,
"My tasks to do","Мои задачи",,
"My today planning","Мое сегодняшнее планирование",,
"My topics",,,
"My upcoming planning","Мое предстоящее планирование",,
"Name","Имя",,
"New Task",,,
"New line","Новая линия",,
"New task",,,
"New ticket",,,
"New topics",,,
"Next >>",,,
"Next project sequence",,,
"Next task",,,
"No data to display",,,
"Normal","Нормальный",,
"Not invoiced","Не выставлен счет",,
"Not specified","Не указано",,
"Note",,,
"Notes","Примечания",,
"Open",,,
"Open gantt","Открытый бандит",,
"Open phase","Открытая фаза",,
"Open task","Открытое задание",,
"Open task btn",,,
"Order Accepted",,,
"Order Proposed",,,
"Order by state","Государственный заказ",,
"Overview",,,
"Parent Task",,,
"Parent project","Родительский проект",,
"Parent project area",,,
"Parent project department",,,
"Parent task","Родительская задача",,
"Per section calendar",,,
"Per section kanban",,,
"Per status calendar",,,
"Per status kanban",,,
"Per user calendar",,,
"Phase by line","Постепенно",,
"Phases","этапы",,
"Planification and costs","Планирование и затраты",,
"Planned Time Planning",,,
"Planned charge",,,
"Planned progress","Запланированный прогресс",,
"Planning","Планирование",,
"Please fill in task date.",,,
"Please select project","Пожалуйста, выберите проект",,
"Please select user","Пожалуйста, выберите пользователя",,
"Predecessors tasks","Задачи предшественников",,
"Preferences",,,
"Printed from Axelor open platform",,,
"Priorities?",,,
"Priority",,,
"Product","Продукт",,
"Production","Производство",,
"Progress","Прогресс",,
"Project","Проект",,
"Project Activities",,,
"Project Activity",,,
"Project Area",,,
"Project Area Tree",,,
"Project Calendar","Календарь проектов",,
"Project Department",,,
"Project Department Tree",,,
"Project Folder","Папка проекта",,
"Project Gantt","Проект Гант",,
"Project Label","Маркировка проекта",,
"Project Location",,,
"Project Phase","Этап проекта",,
"Project Priority",,,
"Project Task","Задача проекта",,
"Project Task Category",,,
"Project Task Section",,,
"Project Task Tree","Дерево задач проекта",,
"Project Tasks","Задачи проекта",,
"Project Team",,,
"Project Teams",,,
"Project Validator",,,
"Project Worker",,,
"Project alone","Один проект",,
"Project area list",,,
"Project dashboard",,,
"Project department list",,,
"Project fields",,,
"Project filters",,,
"Project name",,,
"Project status",,,
"Project task category",,,
"Project task category filters",,,
"Project task filters",,,
"Project task list",,,
"Project template",,,
"Project template filters",,,
"Project.Resource",,,
"Project/Business (Project)","Проект/Бизнес (проект)",,
"ProjectTask.Package",,,
"Projects","Проекты",,
"Projects tree",,,
"Purchase order lines","Линии заказов на поставку",,
"Purchases","Покупки",,
"Quantity","Количество",,
"Related Projects","Похожие проекты",,
"Related Tasks",,,
"Related to",,,
"Remove lines","Снимите линии",,
"Remove selected lines","Удалить выделенные линии",,
"Reportings","Отчеты",,
"Reports","Отчеты",,
"Reset",,,
"Resource","Ресурс",,
"Resource booking","Бронирование ресурсов",,
"Resource bookings","Бронирование ресурсов",,
"Resource management","Управление ресурсами",,
"Resource type","Тип ресурса",,
"Resource types","Типы ресурсов",,
"Resources","Ресурсы",,
"Roadmap",,,
"Salary",,,
"Sale order lines","Линии заказов на продажу",,
"Sales","Продажи",,
"Section",,,
"Section?",,,
"Select",,,
"Select Projects","Выбрать проекты",,
"Select Users","Выберите пользователей",,
"Select lines to remove",,,
"Select new lines","Выберите новые строки",,
"Select values",,,
"Seq.",,,
"Sequence","Последовательность",,
"Serial/batch number","Серийный номер/номер партии",,
"Show expense lines","Показать статьи расходов",,
"Show production orders","Показать производственные заказы",,
"Show purchase order lines","Показать линии заказов на поставку",,
"Show sale order lines","Показать линии заказов на продажу",,
"Show sub-projects",,,
"Signature",,,
"Spent time",,,
"Start","Начать",,
"Start date",,,
"Start tasks to finish","Запуск заданий для завершения",,
"Start tasks to start","Запуск заданий для запуска",,
"Status","Статус",,
"Status?",,,
"Stop","Остановись",,
"String",,,
"Sub Tasks",,,
"Sub-Projects",,,
"Subject","Предмет",,
"Supplier Invoice lines","Поставщик Линии счетов-фактур",,
"Supplier contracts",,,
"Suprojects",,,
"Synchronize","Синхронизировать",,
"Tag",,,
"Tag color",,,
"Tags",,,
"Take charge","Возьмите на себя ответственность",,
"Task","Задача",,
"Task Calendar",,,
"Task Description",,,
"Task Description as Project Description",,,
"Task Invoicing","Оформление счетов-фактур",,
"Task Name",,,
"Task Tree","Дерево задач",,
"Task User as Project Members",,,
"Task assigned to",,,
"Task assigned to the client",,,
"Task assigned to the provider",,,
"Task by line","Построчно",,
"Task date","Дата задания",,
"Task deadline","Срок выполнения задачи",,
"Task duration",,,
"Task editor",,,
"Task end","Конец задачи",,
"Task fields",,,
"Task history","История задач",,
"Task planning",,,
"Task progress",,,
"Task recurrence",,,
"Task status",,,
"Task template",,,
"Task template filters",,,
"Task template list","Список шаблонов",,
"Task templates",,,
"TaskEditor.comment",,,
"TaskEditor.concurrencyError",,,
"TaskEditor.deleteRecord",,,
"TaskEditor.deleteRecordConfirm",,,
"TaskEditor.deleteSuccess",,,
"TaskEditor.error",,,
"TaskEditor.filter",,,
"TaskEditor.none",,,
"TaskEditor.projectCreateSuccess",,,
"TaskEditor.removeSuccess",,,
"TaskEditor.sectionDeleteSuccess",,,
"TaskEditor.sort",,,
"TaskEditor.taskAddError",,,
"TaskEditor.taskAddSuccess",,,
"TaskEditor.taskDate",,,
"TaskEditor.taskDeleteSuccess",,,
"TaskEditor.undo",,,
"TaskEditor.uploadError",,,
"TaskEditor.uploadSuccess",,,
"Tasks","Задачи",,
"Tasks created by me",,,
"Tasks to finish before finish",,,
"Tasks to start before start",,,
"Team","Команда",,
"Technical type",,,
"Template",,,
"The parent task creates a loop in the task tree.",,,
"This resource is already booked for this period",,,
"This task is deleted",,,
"Ticker number",,,
"Ticket",,,
"Tickets",,,
"Time Spent","Время, потраченное",,
"Time Spent?",,,
"Timer","Таймер",,
"Timer list","Список таймеров",,
"TimesheetLine.timeSpent",,,
"Title","Название",,
"To Date","На свидание",,
"To Invoice","К счету-фактуре",,
"To be invoiceable, each element (task, timesheet, expenses, etc.) has to be set with the checkbox ""To invoice"" as True. These boolean buttons below will set newly created element with ""To invoice"" as True.",,,
"To create new timespent lines, you need to do it via project task or via the HR ""Complete my Timesheet"" menu.",,,
"To date","На сегодняшний день",,
"Today",,,
"Tools","Инструменты",,
"Topic",,,
"Topic created by",,,
"Topic?",,,
"Topics",,,
"Topics (${name})",,,
"Total",,,
"Total Working Days",,,
"Total duration (Hours)","Общая продолжительность (в часах)",,
"Total planned hours","Общее количество запланированных часов",,
"Tree view","Вид на дерево",,
"Type","Тип",,
"Type of authorized activities","Вид разрешенной деятельности",,
"Type of authorized categories","Тип разрешенных категорий",,
"Type of authorized priorities",,,
"Type of authorized status",,,
"Undelete",,,
"Unit","Подразделение",,
"Unit price","Цена единицы",,
"Unlink selected lines","Разорвать выделенные линии",,
"Untitled section",,,
"Update period according to task","Обновить период обновления в соответствии с задачей",,
"Urgent","Срочно",,
"User","Пользователь",,
"User Gantt","Пользователь Гант",,
"User Task","Задача пользователя",,
"Users","Пользователи",,
"Validated Timesheet lines","Проверенные строки табеля учета рабочего времени",,
"Validator",,,
"View all issues",,,
"View details",,,
"Waiting Timesheet lines","Строки табеля ожидания",,
"Wiki","Вики",,
"Wiki folder",,,
"Wikis ${_projectName}",,,
"Wikis (${name})",,,
"Worker",,,
"Working Day",,,
"Yesterday",,,
"You have no active team, the planning can't be generated","У вас нет активной команды, планирование не может быть сформировано.",,
"You have no projects or tasks bound to you, your planning can't be generated.","У вас нет привязанных к вам проектов или задач, ваше планирование не может быть сгенерировано.",,
"You have selected no team for this project","Вы не выбрали ни одну команду для этого проекта.",,
"Your team has no projects or tasks bound to it, the planning can't be generated.","У вашей команды нет проектов или задач, связанных с этим, планирование не может быть сформировано.",,
"[\u0412\u0447\u043e\u0440\u0430",,,
"[\u0417\u0430\u0432\u0442\u0440\u0430",,,
"[\u041c\u0438\u043d\u0443\u043b\u043e\u0433\u043e] dddd [",,,
"[\u041c\u0438\u043d\u0443\u043b\u043e\u0457] dddd [",,,
"[\u0421\u044c\u043e\u0433\u043e\u0434\u043d\u0456",,,
"[\u0423] dddd [",,,
"code",,,
"hours","часы",,
"to",,,
"updated document",,,
"value:Canceled",,,
"value:Done",,,
"value:High",,,
"value:In progress",,,
"value:Low",,,
"value:New",,,
"{{track.title}}",,,
