"key","message","comment","context"
"Unique product for timesheet","Zaman cizelgesi icin Benzersiz urun",,
"Unavailable to users","Kullanicilar icin Kullanilamiyor",,
"Type","Tip",,
"Tuesday","Sali",,
"Trial period duration","Deneme Suresi Suresi",,
"Tracking number","Takip Numarasi",,
"Tourist","Turist",,
"Totals on period","Donemdeki Toplam",,
"TotalToRefund","Totaltorefund",,
"Total to refund","Geri odemeye Toplam",,
"Total to pay","odeyecek Toplam",,
"Total tax","Toplam Vergi",,
"Total required hours","Toplam Gerekli Saatler",,
"Total real hours","Toplam Gercek Saatler",,
"Total planned hours","Toplam Planlanan Saatler",,
"Total on period (hours)","Donemde Toplam (Saat)",,
"Total lunch vouchers","Toplam ogle Yemegi Kuponlari",,
"Total amount with tax","Vergi ile Toplam Tutar",,
"Total amount","Toplam Tutar",,
"Total W.T.","Toplam W.T.",,
"Total Minutes per Day","Gunde Toplam Dakika",,
"Total Hours per Day","Gunde Toplam Saat",,
"Total Days in the period","Donemdeki Toplam Gun",,
"Total A.T.I.","Toplam A.T.i.",,
"Total A.T.I","Toplam A.T.i",,
"Total (h)","Toplam (H)",,
"Total","Toplam",,
"Tools","Aletler",,
"Too many requests","cok Fazla istek",,
"To invoice","Faturalamak",,
"To generation date","Nesil Tarihine",,
"To date can't be empty","Bugune Kadar Bos Olamaz",,
"To date","Bugune Kadar",,
"To Date","Bugune Kadar",,
"To (included)","(Dahil)",,
"To","ile",,
"Timesheets to be Validated by your subordinates","Astlariniz Tarafindan Dogrulanacak Zaman cizelgeleri",,
"Timesheets to Validate","Dogrulamak icin Zaman cizelgeleri",,
"Timesheets","Zaman cizelgeleri",,
"TimesheetReport","Timeseetreport",,
"TimesheetLine.timeSpent","Timeseetline.Timespent",,
"TimesheetLine.project","Timeseetline.Project",,
"TimesheetLine.product","Timeseetline.Product",,
"TimesheetLine.duration","Timeseetline.Duration",,
"Timesheet.totalDuration","Zaman cizelgesi.Totalduation",,
"Timesheet.toDate","Zaman cizelgesi.Todeat",,
"Timesheet.timesheetOf","Zaman cizelgesi.Timesheetof",,
"Timesheet.task","Zaman cizelgesi.Task",,
"Timesheet.fromDate","Zaman cizelgesi.Fromdate",,
"Timesheet report","Zaman cizelgesi Raporu",,
"Timesheet reminders","Zaman cizelgesi Hatirlaticilari",,
"Timesheet reminder template","Zaman cizelgesi Hatirlatma sablonu",,
"Timesheet reminder lines","Zaman cizelgesi Hatirlatma Satirlari",,
"Timesheet reminder line","Zaman cizelgesi Hatirlatma Satiri",,
"Timesheet reminder","Zaman cizelgesi Hatirlaticisi",,
"Timesheet lines","Zaman cizelgesi Satirlari",,
"Timesheet line list is empty, please add a timesheet line list","Zaman cizelgesi Satiri Listesi Bos, Lutfen Bir Zaman cizelgesi Satiri Listesi Ekleyin",,
"Timesheet filters","Zaman cizelgesi Filtreleri",,
"Timesheet editor","Zaman cizelgesi Editoru",,
"Timesheet default end date format","Zaman cizelgesi Varsayilan Bitis Tarihi Bicimi",,
"Timesheet Templates","Zaman cizelgesi sablonlari",,
"Timesheet Notification Mail","Zaman cizelgesi Bildirim Postasi",,
"Timesheet Lines","Zaman cizelgesi Satirlari",,
"Timesheet Line Form","Zaman cizelgesi Satiri Formu",,
"Timesheet Line","Zaman cizelgesi cizgisi",,
"Timesheet","Zaman Plani",,
"Timer start date time","Zamanlayici Baslangic ??Tarihi Saati",,
"Time%","Zaman%",,
"Time of hire","Kiralama Zamani",,
"Time logging preference","Zaman Kaydi Tercihi",,
"Time Sheet","Zaman Plani",,
"Time %","Zaman %",,
"Thursday","Persembe",,
"This date is invalid. It must be included in the timesheet's period.","Bu Tarih Gecersiz. Zaman cizelgesinin Donemine Dahil Edilmelidir.",,
"This contact is referenced from employee %s - %s","Bu Kisiye calisandan %S - %S'Ye Atifta Bulunulur",,
"There is no year selected for the allowance.","odenek icin Bir Yil Secilmez.",,
"There is no year for society %s which includes date %s","%S Tarihi iceren Toplum %S icin Yil Yok",,
"There is no payroll for society %s which includes date %s","%S Tarihi iceren Toplum icin %Sn'Lik Bir Bordro Yok",,
"There is no matching condition for the allowance %s","%S odenek icin Eslesen Bir Kosul Yoktur",,
"There is no leave line for the employee %s and the reason %s.","calisan %S Ve %S Nedeni icin izin Hatti Yoktur.",,
"There is no fiscal year for society %s which includes date %s","%S Tarihi iceren Toplum icin Mali Yil Yok",,
"There is no civil year for society %s which includes date %s","Toplum icin %S iceren %S iceren Bir Sivil Yil Yok",,
"There is an error in a formula","Bir Formulde Bir Hata Var",,
"There is already a payroll preparation for the employee %s, the company %s and the period %s","%S, sirket %S Ve %S Donemi icin Bir Bordro Hazirligi Var",,
"The size of trousers","Pantolonun Boyutu",,
"The kilometric allowance rate corresponding to the kilometric allow param %s and the company %s is missing","Kilometrik izin Verilen Kilometrik odenek Orani, Param %S Ve %S sirketi Eksik",,
"The issuing authority","ihrac Eden Otorite",,
"The employee %s has no seniority date","calisan %S'Nin Kidemli Tarihi Yok",,
"The employee %s has no birth date","calisan %S'Nin Dogum Tarihi Yok",,
"The employee %s has no %s leave line","calisan %S'Nin %S izin Hatti Yok",,
"The employee %s has multiple %s leave lines","calisan %S'Nin Daha Fazla %S izin Satirlari Var",,
"The date of timesheet line %d can't be empty","Zaman cizelgesi Satirinin Tarihi %D Bos Olamaz",,
"The bank order linked to this expense has already been carried out/rejected, and thus can't be canceled","Bu Masrafla Baglantili Banka Emri Zaten Gerceklestirildi/Reddedildi Ve Bu Nedenle iptal Edilemez",,
"Template","sablon",,
"Telephone No For Bank","Banka icin Telefon Hayir",,
"TeamTask","Teamtask",,
"Task","Gorev",,
"TSTimer","Tstimer",,
"TEL 2","Tel 2",,
"TEL","Televizyon",,
"Surname","Soyadi",,
"Sunday","Pazar",,
"Street","Sokak",,
"Stop","Durmak",,
"Stock quantity status","Stok Miktar Durumu",,
"Step by step","Adim Adim",,
"Status Timer","Durum Zamanlayicisi",,
"Status","Durum",,
"Starting city","Baslangic ??sehir",,
"Start&Stop Timer","Baslat Ve Durdur Zamanlayici",,
"Start&Stop","Basla Dur",,
"Start time","Baslangic ??Saati",,
"Start date","Baslangic ??Tarihi",,
"Start Time","Baslangic ??Saati",,
"Start On","Basla",,
"Start Date","Baslangic ??Tarihi",,
"Start","Baslama",,
"Standard","Standart",,
"Spent time","Harcanan Zaman",,
"Social security number","Sosyal Guvenlik Numarasi",,
"Social Charges","Sosyal Suclamalar",,
"SmicValue.name","Smicvalue.Name",,
"SmicValue.menu","Smicvalue.Menu",,
"Size","Boyut",,
"Single","Bekar",,
"Silae","Sila",,
"Signature date","imza Tarihi",,
"Sigara kullanimi","Sigara Kullanimi",,
"Show timesheets to be validated by my subordinates","Astlarim Tarafindan Dogrulanacak Zaman cizelgelerini Gosterin",,
"Show leaves to be validated by my subordinates","Astlarim Tarafindan Dogrulanacak Yapraklari Goster",,
"Show extra hours to be validated by my subordinates","Astlarim Tarafindan Dogrulanacak Fazladan Saat Goster",,
"Show expenses to be validated by my subordinates","Astlarim Tarafindan Dogrulanacak Masraflari Goster",,
"Show expenses annual report","Giderleri Goster Yillik Rapor",,
"Show editor","Gosteri Editoru",,
"Shoes no","Ayakkabi Hayir",,
"Sex","Seks",,
"Set users to be reminded","Kullanicilari Hatirlatmaya Ayarlayin",,
"Sequence","Sekans",,
"Sent Leave Request Template","Gonderilen izin istegi sablonu",,
"Sent Expense Template","Gonderilen Gider sablonu",,
"Sent Date","Gonderilme Tarihi",,
"Seniority leave management page","Kidem izni Yonetim Sayfasi",,
"Seniority leave management batch","Kidem izni Yonetimi Parti",,
"Seniority leave Management","Kidem izni Yonetimi",,
"Seniority date","Kidem Tarihi",,
"Send reminder","Hatirlaticiyi Gonder",,
"Send Expenses","Masraflari Gonder",,
"Send Email","Eposta Gonder",,
"Send","Gondermek",,
"Select users","Kullanicilari Secin",,
"Select the timesheet you want to edit","Duzenlemek istediginiz Zaman cizelgesini Secin",,
"Select the leave request you want to edit","Duzenlemek istediginiz izin istegini Secin",,
"Select the extra hours you want to edit","Duzenlemek istediginiz Ekstra Saatleri Secin",,
"Select the expense you want to edit","Duzenlemek istediginiz Masrafi Secin",,
"Select lines to remove","Kaldirma icin Satirlari Secin",,
"Select extra hours","Ekstra Saatler Secin",,
"Select Timesheet","Zaman cizelgesini Secin",,
"Select Leave Request","Birak istegi Secin",,
"Select Expense","Gider Secin",,
"See timesheet lines","Zaman cizelgesine Bakin",,
"Second Bank details","ikinci Banka Detaylari",,
"School / University","Okul / universite",,
"Saturday","Cumartesi",,
"Sales","Satis",,
"Sale","Satis",,
"Salary change","Maas Degisikligi",,
"SMIC value","Smic Degeri",,
"SILAE","Sila",,
"Round trip","Gidis",,
"Return to draft status","Taslak Duruma Donus",,
"Resume","Surdurmek",,
"Residence permit Type","Konut izni Turu",,
"Residence permit Series Type","Konut izni Serisi Tipi",,
"Residence permit Series No","Konut izni Serisi Hayir",,
"Residence permit","Oturma izni",,
"Requested lunch vouchers on the period","Donemde ogle Yemegi Kuponlari",,
"Requested amount","Talep Edilen Miktar",,
"Requested","Talep Edilen",,
"Request extra hours","Ekstra Saatler isteyin",,
"Request date","istek Tarihi",,
"Reports","Raporlar",,
"Reportings","Raporlar",,
"Reopen period","Yeniden Acma Donemi",,
"Reminder","Hatirlatma",,
"Remaining amount","Kalan Miktar",,
"Remaining","Geriye Kalan",,
"Relationship","iliski",,
"RejectionReason.name","Redibingrears.Name",,
"Reimbursed","Geri odenmis",,
"Registration number","Kayit Numarasi",,
"Registration code","Tescil Kodu",,
"Registration certificate","Kayit Belgesi",,
"Register payment","odeme Kayit",,
"Refused Timesheet Template","Reddedilen Zaman cizelgesi sablonu",,
"Refused Leave Request Template","Reddedilen izin istegi sablonu",,
"Refused Extra Hours Template","Ekstra Saat sablonu Reddedildi",,
"Refused Expense Template","Reddedilen Gider sablonu",,
"Refused By","Tarafindan Reddedildi",,
"Refused","Reddetti",,
"Refuse","Reddetmek",,
"Refusal Date","Ret Tarihi",,
"Refresh","Yenilemek",,
"Referential date for seniority","Kidem icin Referans Tarihi",,
"Ref.","Ref.",,
"Record date","Kayit Tarihi",,
"Reason for travel","Seyahat Nedeni",,
"Reason","Sebep",,
"Rate","Oran",,
"RVP","Rvp",,
"Quantity to stock","Stok Miktari",,
"Quantity","Miktar",,
"Quantities","Miktarlari",,
"Qualifications","Nitelikler",,
"QualificationLevel.name","Qualificalevel.Name",,
"QualificationLevel.code","Qualificatelevel.Code",,
"Qualification levels","Yeterlilik Seviyeleri",,
"Qualification Level","Kalite Seviyesi",,
"Qualification","Vasif",,
"Qty must be lower than %d.","Miktar %D'Den Daha Dusuk Olmalidir.",,
"Public holidays planning","Resmi Tatil Planlamasi",,
"Public holidays","Resmi Tatil",,
"Public Holiday Planning","Resmi Tatil Planlamasi",,
"Project task","Proje Gorevi",,
"Project planning time lines","Proje Planlama Zaman cizgileri",,
"Project planning time","Proje Planlama Suresi",,
"Project Plannings","Proje Planlamalari",,
"Project Planning time","Proje Planlama Suresi",,
"Project Planning","Proje Planlamasi",,
"Project","Proje",,
"Profit-sharing beneficiary","Kar Paylasimi Yararlanicisi",,
"Products","urun:% S",,
"Product typology","urun Tipolojisi",,
"Product specific attributes","urune ozgu ozellikler",,
"Product sheet","urun Sayfasi",,
"Product expense filters","urun Gider Filtreleri",,
"Product dates","urun Tarihleri",,
"Product Activity","urun Etkinligi",,
"Product Activities","urun Faaliyetleri",,
"ProbationPeriod.minimumDuration","Denetleme Suresi",,
"ProbationPeriod.maximumDuration","Denetleme Suresi",,
"Probation periods","Denetimli Serbestlik Donemleri",,
"Probation period duration","Denetimli Serbestlik Suresi",,
"Probation period","Deneme Suresi",,
"Print contract","Baski Sozlesmesi",,
"Print","Yazdir",,
"Previously hired","onceden ise Alinmis",,
"Presence","Mevcudiyet",,
"Postponement","Erteleme",,
"Position / Salary","Pozisyon / Maas",,
"Position","Durum",,
"Please, select an expense","Lutfen Bir Masraf Secin",,
"Please, select an employment contract template","Lutfen Bir is Sozlesmesi sablonu Secin",,
"Please, provide weeklyPlanning , publicHolidaysPlanning and mainContract information for selected employees","Lutfen, Secilen calisanlar icin Weeklyplanning, Pubicholidaysplanning Ve Ana Montaj Bilgilerini Saglayin",,
"Please, enter the number of daily work hours per employee %s","Lutfen, calisan Basina Gunluk calisma Saatlerinin Sayisini %S Girin",,
"Please, enter an activity for the employee %s","Lutfen, calisan icin Bir Etkinlik Girin",,
"Please, configure the number of daily work hours.","Lutfen Gunluk calisma Saatlerinin Sayisini Yapilandirin.",,
"Please, choose unit in leave reason %s.","Lutfen, Birakma Nedeninde Birimi Secin.",,
"Please, add a public holiday planning for employee : %s","Lutfen, calisan icin Bir Resmi Tatil Planlamasi Ekleyin: %S",,
"Please, add a planning for employee : %s","Lutfen, calisan icin Bir Planlama Ekleyin: %S",,
"Please, add a contract of employment for employee : %s","Lutfen, calisan icin Bir istihdam Sozlesmesi Ekleyin: %S",,
"Please fill the period","Lutfen Donemi Doldurun",,
"Please fill the payment mode.","Lutfen odeme Modunu Doldurun.",,
"Please fill a leave period.","Lutfen Bir izin Suresini Doldurun.",,
"Please fill a company.","Lutfen Bir sirketi Doldurun.",,
"Please create an employee for the user %s","Lutfen Kullanici icin Bir calisan Olusturun",,
"Please configure the validated timehsheet template in HR config for the company %s","Lutfen %S sirket icin ik Confip'Teki Onaylanmis Timesheet sablonunu Yapilandirin",,
"Please configure the validated leave template in HR config for the company %s","Lutfen %S sirket icin ik Confige icinde Onaylanmis izin sablonunu Yapilandirin",,
"Please configure the validated extra hours template in HR config for the company %s","Lutfen sirket icin ik Confip'inde Onaylanmis Ekstra Saat sablonunu Yapilandirin %S",,
"Please configure the validated expense template in HR config for the company %s","Lutfen %S sirket icin ik Yapilandirmasinda Onaylanmis Gider sablonunu Yapilandirin",,
"Please configure the unjustified absence reason in HR config for the company %s","Lutfen sirket icin ik Yapilandirmasinda Haksiz Devamsizlik Nedenini Yapilandirin %S",,
"Please configure the unit for this type of absence","Lutfen uniteyi Bu Tur Bir Yokluk icin Yapilandirin",,
"Please configure the template for email reminder","Lutfen E -Posta Hatirlaticisi icin sablonu Yapilandirin",,
"Please configure the sent timehsheet template in HR config for the company %s","Lutfen Gonderilen Timehsheet sablonunu sirket icin ik Confip'inde Yapilandirin %S",,
"Please configure the sent leave template in HR config for the company %s","Lutfen Gonderilen izin sablonunu sirket icin ik Yapilandirmasinda Yapilandirin %S",,
"Please configure the sent extra hours template in HR config for the company %s","Lutfen Gonderilen Ekstra Saat sablonunu sirket icin ik Yapilandirmasinda Yapilandirin %S",,
"Please configure the sent expense template in HR config for the company %s","Lutfen Gonderilen Gider sablonunu sirket icin ik Confip'inde Yapilandirin %S",,
"Please configure the refused timehsheet template in HR config for the company %s","Lutfen Reddedilen Timehsheet sablonunu Hr Confige'Da sirket icin Yapilandirin %S",,
"Please configure the refused leave template in HR config for the company %s","Lutfen Reddedilen Ayrilma sablonunu sirket icin ik Confip'inde Yapilandirin %S",,
"Please configure the refused extra hours template in HR config for the company %s","Lutfen Reddedilen Ekstra Saatler sablonunu sirket icin ik Confip'inde Yapilandirin %S",,
"Please configure the refused expense template in HR config for the company %s","Lutfen Reddedilen Gider sablonunu sirket icin ik Confip'inde Yapilandirin %S",,
"Please configure the lunch voucher export path in HR config for the company %s","Lutfen sirket icin ik Yapilandirmasinda ogle Yemegi Kuponu Disa Aktarma Yolunu Yapilandirin %S",,
"Please configure the expense type for kilometric allowance in HR config for the company %s","Lutfen sirket %S icin ik Yapilandirmasinda Kilometrik odenek icin Gider Turunu Yapilandirin",,
"Please configure the canceled timehsheet template in HR config for the company %s","Lutfen iptal Edilen Timehsheet sablonunu sirket icin ik Yapilandirmasinda Yapilandirin %S",,
"Please configure the canceled leave template in HR config for the company %s","Lutfen iptal Edilen izin sablonunu sirket icin ik Yapilandirmasinda Yapilandirin %S",,
"Please configure the canceled extra hours template in HR config for the company %s","Lutfen sirket icin ik Yapilandirma sablonunu Hr Yapilandirmasini Yapilandirin %S",,
"Please configure the canceled expense template in HR config for the company %s","Lutfen sirket icin ik Yapilandirmasinda iptal Edilen Gider sablonunu Yapilandirin %S",,
"Please configure information for human resources for the company %s","Lutfen sirket icin insan Kaynaklari icin Bilgi Yapilandirin %S",,
"Please configure Formula Variables for human resource for the company %s","Lutfen sirket icin insan Kaynagi icin Formul Degiskenlerini Yapilandirin %S",,
"Please add an end date for generation","Lutfen Nesil icin Bir Bitis Tarihi Ekleyin",,
"Please add an employee's public holiday events planning related to user %s","Lutfen Kullanici %S ile ilgili Bir calisanin Resmi Tatil Etkinlikleri Planlamasi Ekleyin",,
"Please add an employee's planning related to user %s","Lutfen Kullanici %S ile ilgili Bir calisanin Planlamasi Ekleyin",,
"Please add a start date for generation","Lutfen Nesil icin Bir Baslangic ??Tarihi Ekleyin",,
"Please add a product","Lutfen Bir urun Ekleyin",,
"Plate Number","Plaka Numarasi",,
"Plannings","Planlar",,
"Planning line cannot be in two different days","Planlama Hatti iki Farkli Gun icinde Olamaz",,
"Planned time","Planlanan Zaman",,
"Planned hours","Planlanan Saatler",,
"Planned Time Planning","Planli Zaman Planlamasi",,
"Place of Birth","Dogum Yeri",,
"Phonebook.employeePhonebook","Phonebook.Employeephonebook",,
"Phone at the customer","Musteriye Telefon",,
"Phone","Telefon",,
"Personal information","Kisisel Bilgi",,
"Personal expense amount","Kisisel Gider Tutari",,
"Personal expense","Kisisel Masraflar",,
"Personal Tax no","Kisisel Vergi Hayir",,
"Permanent","Kalici",,
"Periods generation assistant","Donem Nesil Asistani",,
"Period is closed","Donem Kapali",,
"Period","Donem",,
"Payroll years","Bordro Yillari",,
"Payroll year","Bordro Yili",,
"Payroll preparations successfully generated : %s","Bordro Hazirliklari Basariyla uretildi: %S",,
"Payroll preparations failed to be generated due to missing data : %s","Eksik Veri Nedeniyle Bordro Hazirliklari uretilmedi: %S",,
"Payroll preparations failed to be generated due to a duplicate one : %s","Bordro Hazirliklari Yinelenen Bir Durum Nedeniyle uretilmedi: %S",,
"Payroll preparations exported : %s","Bordro Hazirliklari ihrac Edildi: %S",,
"Payroll preparations attempted to be generated : %s","Bordro Hazirliklari Olusturulmaya calisildi: %S",,
"Payroll preparations","Bordro Hazirliklari",,
"Payroll preparation generation page","Bordro Hazirlik uretim Sayfasi",,
"Payroll preparation generation batch","Bordro Hazirlik uretimi Parti",,
"Payroll preparation generation","Bordro Hazirlik uretimi",,
"Payroll preparation filters","Bordro Hazirlik Filtreleri",,
"Payroll preparation export page","Bordro Hazirlik ihracat Sayfasi",,
"Payroll preparation export batch","Bordro Hazirlik ihracat Parti",,
"Payroll preparation export","Bordro Hazirlama ihracati",,
"Payroll preparation","Bordro Hazirligi",,
"Payroll periods","Bordro Donemleri",,
"Payroll Year","Bordro Yili",,
"Payroll Preparations","Bordro Hazirliklari",,
"Payroll Preparation","Bordro Hazirligi",,
"Payroll Leaves","Bordro Yapraklari",,
"Payroll Leave","Bordro izni",,
"Payment move","odeme Hareketi",,
"Payment mode","odeme sekli",,
"Payment information","odeme Bilgileri",,
"Payment amount","odeme Miktari",,
"Payment Status","odeme Durumu",,
"Payment Date","odeme Tarihi",,
"Payment","odeme",,
"Pay period","odeme Periyodu",,
"Pay company main employment contract","Pay Company Ana is Sozlesmesi",,
"Pay Grid","ucret izgarasi",,
"Pay Company","ucret sirketi",,
"Pause","Duraklat",,
"Passport no","Pasaport Numarasi",,
"Passport Details","Pasaport Detaylari",,
"Paper format","Kagit Formati",,
"PRENOM","Prenom",,
"Overview","Genel Bakis",,
"Overseas","Denizasiri",,
"Others","Digerleri",,
"Other Info","Diger Bilgiler",,
"Other","Baska",,
"Organization","Organizasyon",,
"Open Street Maps error: %s","Acik Sokak Haritalari Hatasi: %S",,
"Only missing","Sadece Kayip",,
"One-way","Tek Yon",,
"Old value","Eski Deger",,
"Old code","Eski Kod",,
"Occasional","Ara Sira",,
"OTHER","Baska",,
"OK","Tamam",,
"O+","O+",,
"O","o",,
"Number of lunch vouchers","ogle Yemegi Kuponlarinin Sayisi",,
"Number of days worked","calisilan Gun Sayisi",,
"Number of days overseas","Yurtdisindaki Gun Sayisi",,
"Number of days before reminder","Hatirlatmadan onceki Gun Sayisi",,
"Number of days","Gun Sayisi",,
"Number of canteen entries","Kantin Girislerinin Sayisi",,
"Notes","Notalar",,
"Not invoiced","Faturalandirilmamis",,
"Not Done","Bitmis Degil",,
"None","Hicbiri",,
"Non-Executive","icraci Olmayan",,
"No user found","Kullanici Bulunamadi",,
"No timesheet to be validated by your subordinates","Astlariniz Tarafindan Dogrulanacak Zaman cizelgesi Yok",,
"No timesheet line has been created because the duration is less than 1 minute","Sure 1 Dakikadan Az Oldugu icin Zaman cizelgesi Hatti Olusturulmadi",,
"No time sheet found for employee %s","calisan %S icin Zaman Sayfasi Bulunamadi",,
"No such place exists","Boyle Bir Yer Yok",,
"No longer used","Artik Kullanilmiyor",,
"No extra hours to be validated by your subordinates","Astlariniz Tarafindan Dogrulanacak Fazladan Saat Yok",,
"No expense to be validated by your subordinates","Astlariniz Tarafindan Dogrulanacak Masraf Yok",,
"No Tax for the product %s","urun icin Vergi Yok %S",,
"No Route Found","Rota Bulunamadi",,
"No Leave Request to be validated by your subordinates","Astlariniz Tarafindan Dogrulanacak izin istegi Yok",,
"No","Numara",,
"Nibelis","Nibelis",,
"New project line","Yeni Proje Hatti",,
"New employees","Yeni calisanlar",,
"New employee","Yeni calisan",,
"New","Yeni",,
"Net salary","Net Maas",,
"Need validation","Dogrulamaya ihtiyacim Var",,
"Nbr lunch vouchers","Nbr ogle Yemegi Kuponlari",,
"Nationalty","Milliyet",,
"Name for working day variable","is Gunu Degiskeni icin isim",,
"Name for total working day in a period variable","Bir Donem Degiskeninde Toplam calisma Gununun Adi",,
"Name for seniority variable","Kidem Degiskeni icin isim",,
"Name for age variable","Yas Degiskeni icin isim",,
"Name","isim",,
"NUMERO INSEE","Numero insee",,
"NOM MARITAL","Nom Evlilik",,
"NOM DE JEUNE FILLE","Nom De Jeune Fille",,
"NOM","Nom",,
"My timesheets","Zaman cizelgelerim",,
"My timesheet","Zaman cizelgem",,
"My leave requests","izin Taleplerim",,
"My leave request","izin Talebim",,
"My extra hours","Ekstra Saatlerim",,
"My expenses","Harcamalarim",,
"My expense","Benim Masrafim",,
"My Timesheets","Zaman cizelgelerim",,
"My Leave Requests","izin Taleplerim",,
"My Extra Hours","Ekstra Saatlerim",,
"My Expenses","Harcamalarim",,
"Multiple users expenses","Birden Fazla Kullanici Masrafi",,
"Multiple users","Birden Fazla Kullanici",,
"Move already used, you must unreconcile it first","Zaten Kullanilmis Hareket Et, once Onu cikarmalisin",,
"Move Date","Hareket Tarihi",,
"Move","Hareket",,
"Morning","Sabah",,
"Monthly global cost","Aylik Kuresel Maliyet",,
"Monday","Pazartesi",,
"Mobile phone","Cep Telefonu",,
"Missing hours","Eksik Saatler",,
"Miscellaneous Amendment","cesitli Degisiklik",,
"Minutes","Dakikalar",,
"Minimum stock of lunch vouchers will be reached for the company %s. Minimum Stock allowed : %s. Available Stock : %s","sirket icin Asgari ogle Yemegi Kuponlarina Ulasilacaktir. izin Verilen Asgari Stok: %S. Stokta Mevcut",,
"Minimum Stock of Lunch Vouchers","Minimum ogle Yemegi Kuponlari Stogu",,
"Minimum Condition","Minimum Durum",,
"Min monthly remuneration","Min Aylik ucret",,
"Military Status","Askeri Statu",,
"Migration Card Start","Goc Karti Baslangic",,
