"key","message","comment","context"
"Internal Note","Uwaga wewnętrzna",,
"Internal Ref.","Wewnętrzny ref.",,
"Internal note","Notatka wewnętrzna",,
"Internal purchase requests",,,
"Invoice Lines","Linie do wystawiania faktur",,
"Invoiced","Zafakturowany",,
"Invoices","Faktury",,
"Invoicing","Fakturowanie",,
"Is Payment Done",,,
"Last update","Ostatnia aktualizacja",,
"Manage multiple purchase quantity","Zarządzanie wielokrotną ilością zakupów",,
"Manage purchase order versions","Zarządzanie wersjami zamówień zakupu",,
"Manage purchases unit on products","Zarządzaj zakupami jednostek na produktach",,
"Manage supplier catalog","Zarządzanie katalogiem dostawców",,
"Maps",,,
"Max purchase price",,,
"Merge into single purchase order","Połączenie w jedno zamówienie zakupu",,
"Merge purchase orders","Łączenie zamówień zakupu",,
"Merge quotations","Łączenie notowań",,
"Message for requesting prices","Wiadomość dotycząca żądania cen",,
"Month","Miesiąc",,
"My Closed Purchase orders","Moje zamówienia na zakupy w systemie zamkniętym",,
"My Ongoing Purchase orders","Moje bieżące zamówienia",,
"My Orders to process","Moje zlecenia do przetworzenia",,
"My Purchase orders","Moje zamówienia zakupu",,
"My RFQs","Moje RFQ",,
"My RFQs and POs To Validate",,,
"My Sales","Moja sprzedaż",,
"My Validated POs","Moje zatwierdzone PO",,
"My purchased amount by product accounting family",,,
"My purchased qty by product accounting family",,,
"Nbr of PO by month","Nbr PO według miesiąca",,
"New product","Nowy produkt",,
"New version","Nowa wersja",,
"Not invoiced","Nie zafakturowane",,
"Not received","Nie otrzymano.",,
"OR","LUB",,
"Offer",,,
"Ongoing Purchase orders","Zamówienia bieżące",,
"Order Confirm",,,
"Order Date","Data zamówienia Data zamówienia",,
"Ordered","Zamówienie",,
"PO Management","Zarządzanie PO",,
"PO Tax line","PO Pozycja podatkowa",,
"PO Tax lines","PO Linie podatkowe",,
"PO line","Linia PO",,
"PO lines","Linie PO",,
"PO lines detail","Szczegóły",,
"POs Volume by buyer by accounting family",,,
"Paid",,,
"Partially invoiced","Częściowo zafakturowane",,
"Partially received","Częściowo otrzymane",,
"Partner price lists","Cenniki partnerskie",,
"Pay",,,
"Payment Info",,,
"Payment Method",,,
"Payment Process",,,
"Percent","Odsetek",,
"Please add payment Info.",,,
"Please enter at least one detail line.",,,
"Please enter supplier for following purchase request : %s",,,
"Please fill printing settings on following purchase orders: %s","Proszę wypełnić ustawienia drukowania dla następujących zamówień zakupu: %s",,
"Please fill printing settings on purchase order %s","Proszę wypełnić ustawienia drukowania w zamówieniu zakupu %s",,
"Please select the purchase order(s) to print.","Proszę wybrać zamówienie(-a) zakupu do wydruku.",,
"Price List","Cennik",,
"Price list","Cennik",,
"Price lists","Cenniki",,
"Print","Drukuj",,
"Print Request Form",,,
"Print Supplier Quote",,,
"Printing","Drukowanie",,
"Printing settings","Ustawienia drukowania",,
"Product","Produkt",,
"Product Accounting Family",,,
"Product code on catalog","Kod produktu w katalogu",,
"Product name on catalog","Nazwa produktu w katalogu",,
"Products & services","Produkty i usługi",,
"Products list","Wykaz produktów",,
"Project",,,
"Purchase","Zakupy",,
"Purchase Buyer","Zakup kupującego",,
"Purchase Manager","Kierownik ds. zakupów",,
"Purchase Payment",,,
"Purchase Request",,,
"Purchase Request Date",,,
"Purchase Request Line",,,
"Purchase Request Lines",,,
"Purchase Request Number",,,
"Purchase Request Ru",,,
"Purchase blocking","Blokowanie zakupów",,
"Purchase config","Konfiguracja zakupu",,
"Purchase config (${ name })","Zakup konfiguracji (${ nazwa })",,
"Purchase configuration","Konfiguracja zakupu",,
"Purchase configurations","Konfiguracje zakupu",,
"Purchase order","Zamówienie zakupu",,
"Purchase order created","Utworzone zamówienie zakupu",,
"Purchase order information","Informacje dotyczące zamówienia zakupu",,
"Purchase orders","Zamówienia zakupu",,
"Purchase orders ATI/WT","Zamówienia zakupu ATI/WT",,
"Purchase orders to merge","Zamówienia zakupu w celu połączenia",,
"Purchase quotation",,,
"Purchase quotations","Notowania zakupu",,
"Purchase request","Wniosek o zakup",,
"Purchase request Validator",,,
"Purchase request filters",,,
"PurchaseOrder.afterDiscount","po zniżce w wysokości",,
"PurchaseOrder.base","Podstawa",,
"PurchaseOrder.buyer","Kupujący",,
"PurchaseOrder.buyerEmail",,,
"PurchaseOrder.buyerPhone",,,
"PurchaseOrder.canceled","Anulowany",,
"PurchaseOrder.customer","Klient",,
"PurchaseOrder.customerRef","Dane referencyjne klienta",,
"PurchaseOrder.deliveryAddress","Adres dostawy",,
"PurchaseOrder.description","Opis",,
"PurchaseOrder.desiredReceiptDate",,,
"PurchaseOrder.discountAmount","Zniżka",,
"PurchaseOrder.draft","Wstępny projekt",,
"PurchaseOrder.estimatedReceiptDate",,,
"PurchaseOrder.finished","Gotowe",,
"PurchaseOrder.invoicingAddress","Adres do fakturowania",,
"PurchaseOrder.note","Uwaga: Nie należy stosować się do zaleceń zawartych w niniejszej instrukcji obsługi.",,
"PurchaseOrder.order","Zarządzenie",,
"PurchaseOrder.orderDate","Data zamówienia",,
"PurchaseOrder.paymentCondition","Warunki płatności",,
"PurchaseOrder.paymentMode","Tryb płatności",,
"PurchaseOrder.priceExclTax","Kwota bez podatku",,
"PurchaseOrder.priceInclTax","Kwota brutto (w tym podatek)",,
"PurchaseOrder.productSequence",,,
"PurchaseOrder.productStandard",,,
"PurchaseOrder.purchaseInfo","Informacje o zakupie.",,
"PurchaseOrder.qtyUnit","Ilość",,
"PurchaseOrder.quote","RFQ",,
"PurchaseOrder.ref","Odniesienie",,
"PurchaseOrder.reference","Odniesienie",,
"PurchaseOrder.requested","Wnioskowany",,
"PurchaseOrder.state","Status",,
"PurchaseOrder.statusCanceled","Anulowanie zamówienia zakupu",,
"PurchaseOrder.statusDraft","Projekt zamówienia zakupu",,
"PurchaseOrder.statusFinished","Zakończenie zamówienia zakupu",,
"PurchaseOrder.statusRequested","Zamówienie zakupu, którego dotyczy wniosek",,
"PurchaseOrder.statusValidated","Zatwierdzone zamówienie zakupu",,
"PurchaseOrder.supplier","Dostawca",,
"PurchaseOrder.supplierCode",,,
"PurchaseOrder.supplyRef","Odniesienie do dostawcy",,
"PurchaseOrder.tax","Podatek",,
"PurchaseOrder.taxAmount","Kwota podatku",,
"PurchaseOrder.totalDiscount","Zniżka",,
"PurchaseOrder.totalExclTax","Ogółem bez podatku",,
"PurchaseOrder.totalExclTaxWithoutDiscount","Razem bez podatku brutto",,
"PurchaseOrder.totalInclTax","Razem Inc. Podatek",,
"PurchaseOrder.totalTax","Podatek ogółem",,
"PurchaseOrder.unitPrice","Cena jednostkowa",,
"PurchaseOrder.validated","Zatwierdzony",,
"Purchased","Zakupione",,
"Purchased amount by accounting family",,,
"Purchased amount by product accounting family",,,
"Purchased amount distribution by accounting family",,,
"Purchases","Zakupy",,
"Purchases Order filters","Zakupy Filtry zamówieniowe",,
"Purchases follow-up","Działania następcze związane z zakupami",,
"Purchases unit","Jednostka zakupów",,
"Purpose",,,
"Qty","Ilość",,
"Quantity","Ilość",,
"Quantity min","Ilość min.",,
"Quotation","Cytat",,
"RFQ And PO To Validate","RFQ i PO do zatwierdzenia",,
"Receipt State","Państwo odbioru",,
"Received","Otrzymany",,
"Received quantity","Ilość otrzymana",,
"Recipt Number",,,
"Ref.","Nr ref.",,
"Reference already existing","Odniesienie już istniejące",,
"References","Odniesienia",,
"Refuse","Odmowa",,
"Refused","Odmówiony",,
"Report",,,
"Reportings","Sprawozdania",,
"Reports","Sprawozdania",,
"Request","Żądanie",,
"Request Code",,,
"Request Date",,,
"Requested","Wnioskowany",,
"Requester",,,
"Reverse charged","Odwrotne obciążenie",,
"Sale quotations","Notowania sprzedaży",,
"See budget distribution lines",,,
"See purchase order lines","Zobacz linie zamówień zakupu",,
"See quotation lines","Patrz wiersze cytatu",,
"Send Email","Wyślij e-mail",,
"Send Request",,,
"Send email","Wyślij wiadomość e-mail",,
"Send to Payment Process",,,
"Seq.","Seq.",,
"Shipping Coefficients","Współczynniki dotyczące żeglugi",,
"Show invoice","Pokaż fakturę",,
"Specialty",,,
"Specific notes",,,
"Specific tax note",,,
"Start date",,,
"Status","Status",,
"Stock Location",,,
"Stock location","Lokalizacja zapasów",,
"Stock move","Przenoszenie zapasów",,
"Supplier","Dostawca",,
"Supplier Catalog","Katalog dostawcy",,
"Supplier Catalog Lines","Linie katalogowe dla dostawców",,
"Supplier Comment","Komentarz dostawcy",,
"Supplier Quote",,,
"Supplier RFQ/PO","Dostawca RFQ/PO",,
"Supplier RFQs/POs","Dostawca RFQ/PO",,
"Supplier box in purchase order","Skrzynka dostawcy w zamówieniu",,
"Supplier catalog","Katalog dostawcy",,
"Supplier code",,,
"Supplier invoices","Faktury dla dostawców",,
"Supplier is required to generate a purchase order.",,,
"Supplier ref.","Dostawca nr ref.",,
"Suppliers","Dostawcy",,
"Suppliers List",,,
"Suppliers requests","Wnioski dostawców",,
"Take product purchase price",,,
"Tax","Podatek",,
"Tax Equiv","Podatek Equiv",,
"Tax Lines","Linie podatkowe",,
"Tax number",,,
"Team","Zespół",,
"The company %s doesn't have any configured sequence for the purchase orders","Firma %s nie posiada skonfigurowanej sekwencji zamówień zakupu",,
"The company is required and must be the same for all purchase orders","Firma jest wymagana i musi być taka sama dla wszystkich zamówień zakupu",,
"The currency is required and must be the same for all purchase orders","Waluta jest wymagana i musi być taka sama dla wszystkich zamówień zakupu",,
"The field 'Stock Location' must be filled.","Należy wypełnić pole Stock Location.",,
"The line cannot be null.","Linia nie może być pusta.",,
"The minimum order quantity of %s to the supplier is not respected. Unit price might be different than the supplier catalog one.",,,
"The partner's language is different from the current language. Description and product name are in :",,,
"The supplier Partner is required and must be the same for all purchase orders","Partner dostawcy jest wymagany i musi być taki sam dla wszystkich zamówień zakupu",,
"The supplier of the purchase order is different from the default supplier of the product.",,,
"The trading name must be the same for all purchase orders","Nazwa handlowa musi być taka sama dla wszystkich zleceń kupna",,
"There is no sequence set for the purchase requests for the company %s",,,
"This product is not available from the supplier.","Ten produkt nie jest dostępny u dostawcy.",,
"This supplier is blocked:","Ten dostawca jest zablokowany:",,
"Timetable","Rozkład lotów",,
"Title","Tytuł",,
"Title Line","Linia Tytułowa",,
"To Date","Do daty",,
"Tools","Narzędzia",,
"Total A.T.I.","Ogółem A.T.I.",,
"Total A.T.I. in company currency","Łącznie A.T.I. w walucie przedsiębiorstwa",,
"Total Cost",,,
"Total Purchased Amount by month","Łączna zakupiona kwota według miesięcy",,
"Total Purchased Qty by month","Łączna liczba zakupionych kwartałów według miesięcy",,
"Total Supplier",,,
"Total Tax","Podatek ogółem",,
"Total W.T.","Ogółem W.T.",,
"Total W.T. in company currency","Ogółem W.T. w walucie firmy",,
"Total cost",,,
"Total tax","Razem podatek",,
"Trading name","Nazwa handlowa",,
"Unit","Jednostka",,
"Unit price","Cena jednostkowa",,
"Unit price A.T.I.","Cena jednostkowa A.T.I.",,
"Unit price W.T.","Cena jednostkowa W.T.",,
"Unit price discounted","Cena jednostkowa zdyskontowana",,
"Units","Jednostki",,
"Update lines with selected project","Aktualizacja wierszy z wybranym projektem",,
"Upload Files",,,
"User",,,
"Validate","Zatwierdzić",,
"Validated","Zatwierdzony",,
"Validated by","Zatwierdzone przez",,
"Validation date","Data ważności",,
"Validator",,,
"Validators",,,
"Version Number","Wersja Numer wersji",,
"WT","WT",,
"Warning, a completed order can't be changed anymore, do you want to continue?","Ostrzeżenie, wykonane zlecenie nie może już być zmienione, czy chcesz kontynuować?",,
"You have to choose at least one purchase order","Musisz wybrać co najmniej jedno zamówienie",,
"You must configure Purchase module for the company %s","Musisz skonfigurować moduł Zakup dla firmy %s",,
"You need a purchase order associated to line.","Potrzebujesz zamówienia zakupu związanego z linią.",,
"important","ważny",,
"info","informacja",,
"success","powodzenie",,
"value:Purchase","wartość: zakup",,
"value:Purchase Request","wartość: wniosek o zakup",,
"warning","ostrzegawczy",,
"{{ company.name }}","{{ company.name }}",,
"{{ stockLocation.name }}","{{ stockLocation.name }}",,
